Extracted Attribute,Best Match,Similarity,Category
Collection/Brand,,0.5625,jewelry
Collection/Design,,0.5294117647058824,jewelry
Collection/Designer,,0.4736842105263158,jewelry
Comfort Feature,,0.2666666666666667,jewelry
Comfort Fit,,0.21052631578947367,jewelry
Contact Email,,0.4666666666666667,jewelry
Contact Information,,0.42105263157894735,jewelry
Contact Phone,,0.4666666666666667,jewelry
Contact for Customization,,0.31999999999999995,jewelry
Customization Availability,,0.3076923076923077,jewelry
Cut,,0.33333333333333337,jewelry
Dealer Location,,0.4666666666666667,jewelry
Design,,0.30000000000000004,jewelry
Design Features,,0.2666666666666667,jewelry
Diamond Cut,,0.2727272727272727,jewelry
Distributor,,0.1875,jewelry
Distributor Location,,0.44999999999999996,jewelry
Edge Type,,0.36363636363636365,jewelry
Finish,,0.33333333333333337,jewelry
Fit Style,,0.5,jewelry
Fit Type,,0.4,jewelry
Gemstone,,0.30000000000000004,jewelry
Gender,gender,0.8333333333333334,jewelry
Gold Color (Available),,0.2272727272727273,jewelry
Gold Color Options,,0.38888888888888884,jewelry
Gold Karat (Available in),,0.19999999999999996,jewelry
Gold Purity (where applicable),,0.23333333333333328,jewelry
Location,,0.5,jewelry
Location of Dealer,,0.2777777777777778,jewelry
Location of Retailer,,0.30000000000000004,jewelry
Matching Product,,0.1875,jewelry
Material,,0.33333333333333337,jewelry
Metal Color,,0.36363636363636365,jewelry
Metal Type,,0.7,jewelry
Metal Type (Available),,0.31818181818181823,jewelry
Model Number,,0.75,jewelry
Model/Style Number,,0.5,jewelry
Necklace Type,,0.3846153846153846,jewelry
Origin/Style,,0.5,jewelry
Precious Metal Types,,0.35,jewelry
Product Category,,0.4375,jewelry
Product Code,,0.5833333333333333,jewelry
Product Codes,,0.5384615384615384,jewelry
Product ID,,0.5,jewelry
Product Line,,0.5833333333333333,jewelry
Product Line/Style,,0.5,jewelry
Product Type,,0.75,jewelry
Retailer,,0.375,jewelry
Retailer Establishment Year,,0.2222222222222222,jewelry
Retailer Founding Year,,0.2272727272727273,jewelry
Retailer Location,,0.4117647058823529,jewelry
Ring Style,,0.7,jewelry
SKU/Model Numbers,,0.5294117647058824,jewelry
Seller,,0.5,jewelry
Seller Establishment Year,,0.24,jewelry
Seller/Jeweler,,0.2142857142857143,jewelry
Setting,,0.4285714285714286,jewelry
Setting Style,,0.5384615384615384,jewelry
Setting Type,,0.41666666666666663,jewelry
Specific Material (as shown),,0.25,jewelry
Stone Presence,,0.4285714285714286,jewelry
Stone Shape,,0.7272727272727273,jewelry
Style,,0.4,jewelry
Target Gender,,0.46153846153846156,jewelry
Type,,0.30000000000000004,jewelry
Width,width,0.8,jewelry
Width (mm),,0.4,jewelry
360° Swivel,,0.18181818181818177,office
Acceptable Settings,,0.21052631578947367,office
Acid-Free,,0.33333333333333337,office
Additional Features,,0.21052631578947367,office
Additional Storage,,0.2222222222222222,office
Adhesive Technology,,0.21052631578947367,office
Adhesive Type,,0.23076923076923073,office
Adjustment Mechanism,,0.35,office
Adjustment Type,,0.33333333333333337,office
Alternate Identifiers,,0.2857142857142857,office
Alternate Item #,,0.30000000000000004,office
Alternate Item #s,,0.25,office
Alternate Item Numbers,,0.28,office
Alternate Model Number,,0.28,office
Alternative Compatibility Code,,0.4,office
Approximate Band Count per Pack,,0.32258064516129037,office
Assembly Information,,0.5,office
Authenticity,authenticity,0.9166666666666666,office
Back Side Finish,,0.3125,office
Backing,,0.4285714285714286,office
Barrel Color,,0.25,office
Base Dimensions,,0.33333333333333337,office
Base Material,,0.6153846153846154,office
Base Material Durability,,0.41666666666666663,office
Base Material Warping Resistance,,0.25,office
Base Protection,,0.4666666666666667,office
Base Stability Features,,0.34782608695652173,office
Base Thickness,,0.2857142857142857,office
Base Type,,0.30000000000000004,office
Beam Color,,0.30000000000000004,office
Binder Compatibility,,0.6,office
Binder Size Compatibility,,0.48,office
Binding,binding,0.8571428571428572,office
Binding Type,,0.5,office
Binding/Punching,,0.375,office
Blade Lock Mechanism,,0.25,office
Blade Material,,0.6428571428571428,office
Blade Type,,0.33333333333333337,office
Boxes per Carton,,0.4117647058823529,office
Brand,brand,0.8,office
Brightness,,0.4,office
Calendar Term,,0.3076923076923077,office
Calendar Year,,0.3076923076923077,office
Capacity,capacity,0.875,office
Capacity (Weight),,0.4117647058823529,office
Card Capacity,,0.5384615384615384,office
Card Size,,0.33333333333333337,office
Card Type,,0.33333333333333337,office
Cartridge Color,,0.2666666666666667,office
Cartridge Part Number,,0.28,office
Cartridge Type,,0.2857142857142857,office
Category,,0.375,office
Cavity Size,,0.2727272727272727,office
Certification,,0.47058823529411764,office
Certifications,,0.4285714285714286,office
Class,,0.4285714285714286,office
Cleaning Method,,0.4,office
Clip Type,,0.25,office
Closure Type,,0.5,office
Color,,0.6666666666666667,office
Color/Finish,,0.41666666666666663,office
Color/Material,,0.5294117647058824,office
Colors,colors,0.8333333333333334,office
Compatibility,compatibility,0.9230769230769231,office
Compatibility Brand,,0.631578947368421,office
Compatible Page Size,,0.4,office
Compatible Printer Models,,0.48,office
Compatible Printer Series,,0.36,office
Compatible Printers,,0.4736842105263158,office
Compatible Roll Counts,,0.40909090909090906,office
Compatible Roll/Label Types,,0.33333333333333337,office
Compatible With,,0.6,office
Components Included,,0.26315789473684215,office
Connection Type,,0.33333333333333337,office
Construction Material,,0.47619047619047616,office
Content Sheet Included,,0.2272727272727273,office
Cord Type,,0.33333333333333337,office
Core Size,,0.3125,office
Corner Feature,,0.25,office
Corner Material/Feature,,0.30434782608695654,office
Country of Origin,,0.3529411764705882,office
Cover Features,,0.3529411764705882,office
Cover Material,,0.5294117647058824,office
Cover Type,,0.33333333333333337,office
Covering Material,,0.5294117647058824,office
Cushioning Type,,0.4,office
Customization,,0.375,office
Customization Tool,,0.33333333333333337,office
Cut Position,,0.3529411764705882,office
Cutting Capacity,,0.4375,office
Cutting Capacity (sheets at once),,0.21212121212121215,office
Cutting Length,,0.3571428571428571,office
Depth,depth,0.8,office
Design,,0.33333333333333337,office
Design Feature,,0.2857142857142857,office
Design Features,,0.2666666666666667,office
Desk Protection,,0.4,office
Device Compatibility,,0.65,office
Device Type,,0.33333333333333337,office
Device Types Compatible,,0.30434782608695654,office
Diameter,,0.33333333333333337,office
Dimensions,,0.4,office
Dimensions (W x D x H),,0.18181818181818177,office
Dimensions Unit,,0.2666666666666667,office
Dispenser Dimensions,,0.30000000000000004,office
Dispenser Type,,0.3125,office
Divider per Drawer,,0.2777777777777778,office
Document Size Compatibility,,0.4814814814814815,office
Drawer Construction,,0.4736842105263158,office
Drawer Count,,0.2857142857142857,office
Durability,,0.5714285714285714,office
Durability Features,,0.26315789473684215,office
Eco-Friendliness,,0.3125,office
Eco-Friendly Content,,0.25,office
Edge Protection,,0.4,office
Edge Type,,0.33333333333333337,office
Edition Year,,0.25,office
Envelope Style,,0.47058823529411764,office
Ergonomic Feature,,0.2941176470588235,office
Extension Length,,0.3125,office
Feature,,0.4285714285714286,office
Features,,0.375,office
Feet Type,,0.33333333333333337,office
Filing Capacity per Drawer Depth,,0.28125,office
Finish,,0.4285714285714286,office
Flap Type,,0.25,office
Folder Type,,0.33333333333333337,office
Follower Blocks per Drawer,,0.2692307692307693,office
Format,,0.375,office
Frame Color,,0.2727272727272727,office
Frame Material,,0.5714285714285714,office
Genuine Part Number,,0.36,office
Genuineness,,0.2727272727272727,office
Ghosting Resistance,,0.26315789473684215,office
Global Product Type,,0.4736842105263158,office
Grid Measurement,,0.25,office
Grid Pattern,,0.3125,office
Grip Material,,0.5384615384615384,office
Grip Type,,0.33333333333333337,office
Handle Material,,0.6,office
Handle Type,,0.33333333333333337,office
Height,height,0.8333333333333334,office
Holder Features,,0.2666666666666667,office
Holder Material,,0.5333333333333333,office
Holder Size,,0.3076923076923077,office
Holder Size (Inch),,0.25,office
Holder Type,,0.33333333333333337,office
Hole Diameter,,0.3076923076923077,office
Hole Punched,,0.33333333333333337,office
Ideal Environments,,0.2222222222222222,office
Imaging Device Type,,0.21052631578947367,office
Impression Durability,,0.4285714285714286,office
Included Accessories,,0.25,office
Included Roll Count,,0.21052631578947367,office
Includes,,0.25,office
Index Guides,,0.25,office
Index Type,,0.33333333333333337,office
Indexing System,,0.2666666666666667,office
Ink Color,,0.33333333333333337,office
Ink Color(s),,0.41666666666666663,office
Ink Flow System,,0.23529411764705888,office
Ink Properties,,0.2941176470588235,office
Ink Surface,,0.36363636363636365,office
Ink System,,0.25,office
Ink Type,,0.25,office
Ink Visibility,,0.5,office
Inner Packaging Quantity,,0.41666666666666663,office
Insert Sheet Size,,0.2941176470588235,office
Insert Size,,0.3125,office
Installation Characteristic,,0.2962962962962963,office
Intended Use,,0.25,office
Internal Organization,,0.33333333333333337,office
Item #:,,0.25,office
Key Benefit,,0.25,office
Key Features,,0.2941176470588235,office
Keyboard Tray Dimensions,,0.33333333333333337,office
Laser Class,,0.36363636363636365,office
Layout,,0.25,office
Layout Style,,0.33333333333333337,office
Length,length,0.8333333333333334,office
Lid Type,,0.33333333333333337,office
Lignin-Free,,0.2727272727272727,office
Line Characteristics,,0.25,office
Line Style,,0.25,office
Load Type,,0.33333333333333337,office
Loading Type,,0.33333333333333337,office
Magnetic,,0.375,office
Manufacturer,,0.43999999999999995,office
Manufacturing Country,,0.43999999999999995,office
Manufacturing Location,,0.43999999999999995,office
Manufacturing Standards,,0.4347826086956522,office
Margin Rule Color,,0.23529411764705888,office
Material,material,0.875,office
Material (Covering),,0.368421052631579,office
Material (Wrist Rest Covering),,0.2666666666666667,office
Material (partial),,0.38888888888888884,office
Material Composition,,0.35,office
Material Reinforcement,,0.31818181818181823,office
Maximum Label/Sticker Width,,0.2962962962962963,office
Maximum Roll/Label Width,,0.25,office
Maximum Sheets Cut,,0.2777777777777778,office
Maximum Sheets Cut at Once,,0.23076923076923073,office
Mechanical Aid,,0.3571428571428571,office
Mechanism,,0.4444444444444444,office
Message,,0.2857142857142857,office
Model,,0.4,office
Model Compatibility,,0.631578947368421,office
Model Number,,0.2941176470588235,office
Mounting Options,,0.4375,office
Mounting Track Length,,0.33333333333333337,office
Mounting Track Material,,0.34782608695652173,office
Mouse Compatibility,,0.631578947368421,office
Mouse Pad Compatibility,,0.5217391304347826,office
Mouse Pad Tracking Control,,0.23076923076923073,office
Navigation Features,,0.21052631578947367,office
Notch Type,,0.41666666666666663,office
Number of Compatible Printers,,0.31034482758620685,office
Number of Guides,,0.24,office
Number of Holes,,0.2666666666666667,office
Number of Pads per Carton,,0.24,office
Number of Sets,,0.2142857142857143,office
Number of Sheets,,0.25,office
Number of Sheets per Pad,,0.25,office
Number of Subjects,,0.2222222222222222,office
Number of Tabs,,0.2142857142857143,office
OEM Compatibility Brand,,0.5217391304347826,office
OEM Status,,0.1875,office
Occasion,,0.3076923076923077,office
Operating Method,,0.3125,office
Orientation,,0.3846153846153846,office
Pack Quantity,,0.7692307692307692,office
Pack Weight,,0.5,office
Packaging Quantity,,0.5555555555555556,office
Pad Type,,0.33333333333333337,office
Page Color/Theme,,0.25,office
Page Size,,0.4,office
Page Yield,,0.7,office
Pages per Week,,0.2857142857142857,office
Paper Brightness,,0.5,office
Paper Capacity,,0.5,office
Paper Color,,0.36363636363636365,office
Paper Content,,0.4285714285714286,office
Paper Quality,,0.46153846153846156,office
Paper Type,,0.33333333333333337,office
Paper Weight,,0.75,office
Paper Weight (lbs),,0.5,office
Paper Weight for Max Sheets,,0.33333333333333337,office
Part Number,,0.31999999999999995,office
Pen Type,,0.25,office
Pocket Count per Divider,,0.33333333333333337,office
Pocket Features,,0.2666666666666667,office
Point Size,,0.4,office
Point Type,,0.41666666666666663,office
Print Color,,0.2727272727272727,office
Print Compatibility,,0.631578947368421,office
Print Quality,,0.3571428571428571,office
Print Quality Description,,0.31999999999999995,office
Printer Compatibility,,0.5714285714285714,office
Printer Technology,,0.2222222222222222,office
Printing Compatibility,,0.5454545454545454,office
Product Category,,0.5625,office
Product Code,,0.5833333333333333,office
Product Codes,,0.5384615384615384,office
Product ID,,0.5,office
Product Line,,0.5833333333333333,office
Product Line Code,,0.4117647058823529,office
Product Series,,0.5625,office
Product Status,,0.5,office
Product Style,,0.6923076923076923,office
Product Type,,0.75,office
Product Weight,,0.4375,office
Program Type,,0.41666666666666663,office
Projection Distance,,0.3157894736842105,office
Quality,,0.5,office
Quality Standard,,0.5294117647058824,office
Quality Standards,,0.47058823529411764,office
Quality Type,,0.25,office
Quantity,,0.5384615384615384,office
Quantity Per Pack,,0.2941176470588235,office
Quantity Per Set,,0.25,office
Quantity per Box,,0.25,office
Quantity per Carton,,0.3157894736842105,office
Quantity per Pack,,0.2941176470588235,office
Quantity per Pack (Count),,0.24,office
Quantity per Ream,,0.2941176470588235,office
Quantity per Set,,0.25,office
Quantity per Unit,,0.23529411764705888,office
Reams per Carton,,0.3529411764705882,office
Recycled Content,,0.3125,office
Refill Benefits,,0.2666666666666667,office
Refill Compatible,,0.2941176470588235,office
Refill Option,,0.3846153846153846,office
Refill Pages,,0.2857142857142857,office
Refill Type,,0.25,office
Refillability,,0.5,office
Reinforcement,,0.3076923076923077,office
Related Products,,0.25,office
Retraction Mechanism,,0.25,office
Return Program,,0.2857142857142857,office
Rubber Band Length,,0.2777777777777778,office
Rubber Band Size,,0.3125,office
Rubber Band Thickness,,0.23809523809523814,office
Rule Type,,0.33333333333333337,office
Ruler Scales,,0.33333333333333337,office
Ruling,,0.5,office
"Ruling Orientation (for 24""x16"")",,0.21875,office
Ruling Sides,,0.25,office
Ruling Style,,0.33333333333333337,office
Ruling Type,,0.2727272727272727,office
Safety Feature,,0.2857142857142857,office
Safety Features,,0.2666666666666667,office
Seam Type,,0.25,office
Seam Width,,0.4,office
Security Feature,,0.25,office
Security Features,,0.23529411764705888,office
Self-Sharpening,,0.33333333333333337,office
Seller,,0.33333333333333337,office
Seller/Website,,0.3125,office
Series,,0.375,office
Setup Requirement,,0.23529411764705888,office
Sheet Capacity,,0.5,office
Sheet Capacity per Divider,,0.2692307692307693,office
Sheet Capacity per Pocket,,0.28,office
Sheet Color,,0.3529411764705882,office
Sheet Count,,0.3529411764705882,office
Sheet Count (per unit),,0.2727272727272727,office
Sheet Count per Pack,,0.25,office
Sheet Features,,0.3529411764705882,office
Sheet Quantity per Pad,,0.31818181818181823,office
Sheet Size,,0.33333333333333337,office
Sheet Size Compatibility,,0.5,office
Sheets Per Unit,,0.3529411764705882,office
Sheets per Inner Packaging,,0.3846153846153846,office
Sheets per Pad,,0.4117647058823529,office
Shipping,shipping,0.875,office
Shipping Carrier,,0.4375,office
Shipping Weight,,0.4666666666666667,office
Sidedness,,0.33333333333333337,office
Sides Closed,,0.25,office
Size,,0.25,office
Size (Detached),,0.19999999999999996,office
Size (Inches),,0.23076923076923073,office
Size (Number),,0.23529411764705888,office
Size (Specific to this Product),,0.22580645161290325,office
Size (inches),,0.23076923076923073,office
Size Compatibility,,0.6666666666666667,office
Slide Type,,0.33333333333333337,office
Software Availability,,0.47619047619047616,office
Sold As,,0.4285714285714286,office
Source,source,0.8333333333333334,office
Special Feature,,0.33333333333333337,office
Special Feature 1,,0.2941176470588235,office
Special Feature 2,,0.2941176470588235,office
Special Features,,0.3125,office
Special Recognition,,0.368421052631579,office
Special Section(s),,0.38888888888888884,office
Specific Product Type,,0.47619047619047616,office
Stackability,,0.6428571428571428,office
Staining Resistance,,0.21052631578947367,office
Stamp Count per Roll,,0.25,office
Stamp Type,,0.25,office
Standards Compliance,,0.25,office
Style,,0.4,office
Style Compatibility,,0.631578947368421,office
Sub-Category,,0.25,office
Suitable For,,0.25,office
Suitable Surfaces,,0.2941176470588235,office
Suitable Venues,,0.2666666666666667,office
Supplier,,0.3571428571428571,office
Supply Type,,0.25,office
Supported Card Sizes,,0.35,office
Surface Characteristics,,0.30434782608695654,office
Surface Colors,,0.4285714285714286,office
Surface Material,,0.5,office
Surface Type,,0.33333333333333337,office
Sustainability,sustainability,0.9285714285714286,office
Sustainability Certification,,0.4642857142857143,office
Sustainability Feature,,0.5909090909090908,office
Tab Color,,0.33333333333333337,office
Tab Count,,0.3076923076923077,office
Tab Features,,0.2857142857142857,office
Tab Reinforcement,,0.2941176470588235,office
Tab Title,,0.33333333333333337,office
Tab Titles,,0.30000000000000004,office
Tab Type,,0.30000000000000004,office
Tape Length,,0.4545454545454546,office
Tape Size,,0.33333333333333337,office
Tape Type,,0.30000000000000004,office
Tape Width,,0.4,office
Technology,,0.4,office
Technology Features,,0.3157894736842105,office
Templates Availability,,0.5,office
Thickness,,0.33333333333333337,office
Thickness (Stock),,0.17647058823529416,office
Tilt Adjustment Type,,0.35,office
Time Interval,,0.46153846153846156,office
Tip Size,,0.25,office
Tip Type,,0.25,office
Toner Cartridge Model,,0.2857142857142857,office
Transparency,,0.33333333333333337,office
Tray Dimensions,,0.2666666666666667,office
Tray Material,,0.6153846153846154,office
Type,,0.25,office
UPC,,0.30000000000000004,office
Usage,,0.2857142857142857,office
Warranty,warranty,0.875,office
Warranty (Compatible/Remanufactured),,0.2222222222222222,office
Warranty (Genuine OEM),,0.31818181818181823,office
Warranty (Non-OEM),,0.38888888888888884,office
Warranty (OEM),,0.5,office
Weight,height,0.8333333333333334,office
Weight (Paper Stock),,0.25,office
Weight (lb),,0.4545454545454546,office
Weight (lbs),,0.41666666666666663,office
Weight Capacity Unit,,0.35,office
Weight Characteristic,,0.2857142857142857,office
Weight Description,,0.33333333333333337,office
Width,width,0.8,office
Wrist Rest,,0.30000000000000004,office
Wrist Rest Benefit,,0.2222222222222222,office
Wrist Rest Feature,,0.2777777777777778,office
Wrist Rest Mechanism,,0.25,office
Wrist Support Material,,0.4545454545454546,office
Write Compatibility,,0.631578947368421,office
Writing Experience,,0.2777777777777778,office
Writing Feel,,0.25,office
Writing System,,0.2142857142857143,office
Year,,0.2857142857142857,office
Yield,,0.4,office
Yield Type,,0.25,office
