Attribute,Cluster (Small),Cluster (Large)
low glycemic,9,0
approval,3,6
applicable for,7,0
alternate materials,6,3
global product type,4,4
page_yield,5,7
clasp features,0,8
dealer,3,6
approximate_count,5,2
net weight per unit,5,2
index sets per bag,5,2
food type,2,1
maximum sheets cut,5,2
door style,0,7
return methods,7,7
compostability,9,0
made_in,3,4
flue_riser_width,1,5
tab count,5,7
operation,3,6
sub-category,7,4
maximum roll/label width,1,5
not suitable for,7,0
designed for,7,0
usability,9,0
safety keys,0,0
product_weight,4,4
leg configuration,0,7
backsplash length,1,5
beverage type,2,1
ghosting resistance,9,0
bakery environment,8,9
optional accessory,7,8
cutting length,1,5
alternate items,7,4
splash,0,6
additional use,7,0
item_code,3,4
quantity per unit,5,2
basket_quantity,5,4
package type,2,1
interior features,0,8
seller background,3,4
oem compatibility brand,7,0
paper quality,9,3
correction type,2,1
point type,2,1
antimicrobial agent,9,0
front and sides material,6,3
band features,0,7
expansion,3,6
size (number),1,5
number of pan wells,5,2
number of compatible printers,9,0
rack material,6,7
mpn / model,3,4
measurement tools,1,5
oven_control,8,9
spigot type,2,1
product assurance,4,0
preservation method,9,0
establishment year of seller,3,4
front & side rim style,0,7
energy efficiency,9,9
compatibility,7,0
ice type,8,9
strength,3,6
bakery specifications,9,0
accessory_by,7,7
product_fit,4,4
output,3,6
number of sheets,5,2
polystyrene foam,9,0
stainless_steel_series,9,7
feet type,2,1
front_material,6,7
support bars,0,7
binding/punching,0,7
tape length,1,5
notebook_cover,0,7
index type,2,1
sku,3,6
case_pack,5,2
use_surface,0,7
plastic grade,9,3
transparency,9,6
front-to-back,0,7
variant,7,6
refrigerant type,8,9
wheel material features,0,8
corners,0,7
surface functionality,0,7
available in,7,0
duty type,2,1
motor power,3,9
quantity in set,5,2
print color,9,0
ice production capacity,8,9
customizable_index_sets,7,7
bin material,6,3
style compatibility,7,7
thickness (mil),1,5
adherence to most surfaces,0,0
racks,0,7
tanks,8,7
ink_color,9,0
export model,7,4
flue riser height,8,5
reusability feature,7,8
water tubs,8,9
brewing capacity,5,9
top,0,6
protection,3,6
color_options,9,7
outer trim size,1,5
pack count,5,2
sheet compatibility,9,2
detail,3,6
material - top,6,3
item number,5,4
tilt adjustment type,2,1
highlightfeature,7,8
oven configuration,8,9
punch type,2,1
barrel color,9,7
leg construction,3,7
discount_exclusion,7,4
lid material characteristics,6,7
special feature 2,7,8
grip,0,6
bottle size (oz),1,5
pack_size,1,2
cover material,6,3
refill benefits,9,0
anti_allergy,9,0
noise characteristic,9,9
model compatibility,7,0
mounting type,2,1
soy content,9,0
quality,3,6
intended audience,7,0
edge protection,0,7
reference,3,6
impression durability,9,0
marked paper guides,9,7
custom cabinet compatible,7,7
grates,0,7
packaging type,2,1
for,3,6
product_color,4,4
hole,3,6
quantity per set,5,2
device type,2,1
mobility feature,7,8
sheet count (per unit),5,2
applied_printer_model,9,0
btu rating,8,9
shipping time,3,4
table type,2,1
dimensions (l x w),1,5
additional feature,7,8
basket_material,6,3
ice dispensing height,8,5
"ruling orientation (for 24""x16"")",0,5
pagestyle,0,7
writing experience,9,6
one touch cook function,8,9
sheet_perforation,5,2
tub material,6,3
edge style,0,7
device types compatible,2,1
number of pieces,5,2
door bin features,0,8
attached wrist rest,0,7
side color,9,7
special features,7,8
caster size,1,5
number of holes,5,2
format,3,6
product details,4,4
drawer sliding mechanism,0,7
body material,6,3
time interval,3,6
outdoor use,7,0
oven rack include,8,9
page,3,6
pad type,2,1
grate type,2,1
hole_type,2,1
energy type,2,1
bonus,7,6
language,3,6
ink supply visibility,9,0
gas_type,8,9
target audience,7,0
extrafeature,7,8
ceiling material,6,3
storagecapacity,5,2
ergonomic feature,7,8
pattern,3,6
reference feature,7,8
weight_capacity,5,2
clip type,2,1
form,3,6
glass features (refrigerated bottom),8,9
foot type,2,1
number of boxes per carton,5,2
source,3,6
print compatibility,9,0
rack configuration,0,7
griddle plate material,6,3
table top edge feature,0,7
specifications,7,8
use,3,6
ink color,9,0
packaging,5,4
table size,1,5
material composition,6,3
pen type,2,1
program type,2,1
temperature control,8,9
undershelves,0,7
standards compliance,9,0
ignition type (ovens),8,9
quantity_per_pack,5,2
manufacturer_stock_number,4,4
effective against,9,0
post features,7,8
message,3,6
quantity,5,2
handle material,6,3
humidity control,8,9
wipe_type,0,0
gold color options,9,0
establishment carrying,3,6
premeasured,5,0
drain,0,6
connection with,3,6
flue riser,8,9
compatible_models,7,4
sanitation standards,9,0
blower speeds,8,9
undershelf material,6,3
seller establishment year,3,4
special assembly note,7,0
serving size per pouch,5,2
roll size,1,2
shop name,3,4
suitable venues,7,0
stain resistant,9,0
foot material,6,7
volume per bag,5,2
back splash height,1,5
coffee flavor,9,0
calendar duration,3,7
number of sections,5,2
double-cupping need,0,7
griddle_position,8,7
deck configuration,0,7
special feature 1,7,8
quantity per box,5,2
design features,0,8
counter top edge,0,7
founded by,3,6
boxes per carton,5,2
ideal for,7,0
legs_material,0,3
ovenbase,3,7
compatible with,7,0
power levels,9,9
daily production capacity,5,2
product additional title,4,4
grate material,6,3
time scale,3,5
assembly required,0,7
product_code,4,4
warranty (genuine oem),3,0
convenience features,7,8
grate removable in,0,7
preparation,3,6
stackable,5,7
design,3,6
production,3,6
supply type,2,1
additional_feature,7,8
durability features,9,8
legs/feet material,6,3
sheets per inner packaging,5,2
retailer,3,4
founder,3,6
country of origin (inferred),3,4
temperature controls,8,9
matching envelopes sku,7,4
not for use on,7,0
components included,7,8
basket quantity,5,2
included accessories,7,8
vat,3,6
availability,3,6
point size,1,5
shelf material (non-refrigerated section),6,3
temperature control type,8,9
calendar term,3,7
line style,0,7
surface resistance,9,9
made in,3,6
gussets,0,7
ink visibility,9,7
keyboard tray dimensions,1,5
hole punched,0,7
door material,6,3
grate removability,0,7
best for,7,0
sheets per pack,5,2
binder size compatibility,1,5
back,0,6
specific material (as shown),6,3
rice content,9,0
programmable,7,0
door type,2,1
dimensions (inches),1,5
contact_service,3,0
microwave safe,8,0
tab format,0,7
included components,7,8
powersupply,3,9
cookie flavours,9,0
posts material,6,6
pre-assembled,7,7
mouse pad compatibility,9,0
steel type,2,1
refill compatibility,9,0
best use,7,0
guaranty,3,6
dimension,1,6
card size,5,5
material construction,6,3
brake included,0,7
writing feel,9,6
lighting features,7,8
notch type,2,1
side material,6,3
racks per oven,5,9
item model number,3,4
number of shelves,5,2
assembly location,3,7
index card type,2,1
hot top,8,9
fuel_type,8,1
refrigeration type,8,9
steno book design,0,7
parts origin,3,7
key benefit,7,8
welding,8,9
award_title,3,4
size,1,5
features and product details,4,8
calendarmonths,7,7
oven rack count,5,9
guides,3,6
extra,7,6
gas tank capacity,5,9
covering material,6,3
manufacture,3,6
keg capacity,1,5
envelope_material,6,3
glass type,2,3
ply,3,6
quality standard,9,0
usefulness,9,0
sustainability feature,7,8
phases,3,6
length,1,6
manufacturing location,3,4
type of steel,2,1
exteriormaterial,6,3
margin type,0,7
door features (non-refrigerated top),8,9
alternate item #,7,4
additional title,7,7
manufacturing standards,9,0
product number,4,4
nutritional highlights,9,0
color options,9,7
compartment quantity,5,2
alternative item,7,4
spill-proof chip collector,9,0
table_of_content_sheets_colors,9,7
flow direction,0,7
inner packaging quantity,5,2
style,3,6
brightness,3,6
base construction,0,7
grate_material,6,3
lock feature,0,7
container material,6,3
mounting track size,1,5
low sodium,9,0
maximum sheets cut at once,5,2
noise reduction rating,9,0
product_type,4,4
water filtration,9,0
cutting capacity,5,2
appointment ruling,3,6
number of plies,5,2
technology features,7,8
recycled content percentage,9,0
retailer founding year,3,4
opening_closing,0,7
leg_dimension,3,7
extended shelf life,9,0
grain composition,9,3
phase,3,6
rust resistance,9,0
gas type requirement,8,9
reversible,9,0
laser color,9,0
faucet center-to-center spacing,1,5
sodium level,9,0
cool touch feature,0,8
loading,3,6
number of tiers,5,2
tier,3,6
discount,3,6
drawer handle material,6,3
setup requirement,7,0
backsplash,0,7
envelope style,0,7
placement,3,6
cup capacity,5,2
flue riser details,8,9
refill type,2,1
frame color,9,7
ice bin depth,1,5
product code (supplier),4,4
page color/theme,9,7
lighting,3,6
original source,3,6
tab color,0,7
shelves,5,7
base rack,0,7
productdescription,4,4
return program,3,6
green product,4,0
packaging per unit,5,2
caster size (in.),1,5
certification,3,0
dimensions (per deck),1,5
function,3,6
energyoutput,8,9
mounting track material,6,3
oven rack included,8,9
divider per drawer,0,7
loading style,2,7
metal gauge,1,5
sheets per pad,5,2
rule,3,6
door type (non-refrigerated top),8,9
ruler scales,1,5
max height per compartment,5,5
